PYid,id,location,department,activities
61,#N/A,Regimiento de Infantería Tres Corrales,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
62,#N/A,Repatriación,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
92,#N/A,Salto del Guairá,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
31,#N/A,San Alberto,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
125,#N/A,San Alfredo,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
111,#N/A,San Antonio,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
145,#N/A,San Bernardino,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
126,#N/A,San Carlos del Apa,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
3,112,San Cosme y Damián,Itapúa,"agriculture, livestock, hunting and related, tourism"
32,#N/A,San Cristóbal,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
262,#N/A,San Estanislao,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
199,#N/A,San Ignacio Guazú,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
63,#N/A,San Joaquín,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
64,#N/A,San José de los Arroyos,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
261,#N/A,San José del Rosario,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
146,#N/A,San José Obrero,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
200,#N/A,San Juan Bautista,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
219,#N/A,San Juan Bautista de Ñeembucú,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
192,#N/A,San Juan del Paraná,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
78,#N/A,San Juan Nepomuceno,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
127,#N/A,San Lázaro,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
112,#N/A,San Lorenzo,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
10,169,San Miguel,Misiones,craft production
201,#N/A,San Miguel,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
263,#N/A,San Pablo,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
202,#N/A,San Patricio,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
264,#N/A,San Pedro de Ycuamandiyú,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
9,402,San Pedro del Paraná,Itapúa,"agriculture, livestock, hunting and related"
194,#N/A,San Rafael del Paraná,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
236,#N/A,San Roque González de Santa Cruz,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
164,#N/A,San Salvador,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
265,#N/A,San Vicente Pancholo,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
147,#N/A,Santa Elena,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
33,#N/A,Santa Fe del Paraná,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
203,#N/A,Santa María de Fe,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
34,#N/A,Santa Rita,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
204,#N/A,Santa Rosa de Lima,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
266,#N/A,Santa Rosa del Aguaray,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
65,#N/A,Santa Rosa del Mbutuy,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
35,#N/A,Santa Rosa del Monday,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
205,#N/A,Santiago,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
237,#N/A,Sapucai,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
128,#N/A,Sargento José Félix López,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
66,#N/A,Simón Bolívar,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
220,#N/A,Tacuaras,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
267,#N/A,Tacuatí,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
79,#N/A,Tavaí,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
36,#N/A,Tavapy,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
165,#N/A,Tebicuary,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
238,#N/A,Tebicuarymí,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
67,#N/A,Tembiaporá,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
249,#N/A,Teniente Esteban Martínez,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
250,#N/A,Teniente Primero Manuel Irala Fernández,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
4,102,Tobatí,Cordillera,"bricks, tiles and ceramics manufacture, craft production, other non-metallic mineral products manufacture"
195,#N/A,Tomás Romero Pereira,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
68,#N/A,Tres de Febrero,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
80,#N/A,Tres de Mayo,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
196,#N/A,Trinidad,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
268,#N/A,Unión,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
149,#N/A,Valenzuela,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
